date;price;Class;bedrooms;bathrooms;sqft_living;sqft_lot;floors;waterfront;view;condition;sqft_above;sqft_basement;yr_built;yr_renovated;street;city;statezip;country
23/05/2014 0:00;80000;UBC;1.0;0.75;430;5050;1.0;0;0;2;430;0;1912;0;32215 E Rutherford St;Carnation;WA 98014;USA
29/05/2014 0:00;83000;UBC;2.0;1.0;900;8580;1.0;0;0;3;900;0;1918;0;14440 51st Ave S;Tukwila;WA 98168;USA
13/05/2014 0:00;90000;UBC;2.0;1.0;790;2640;1.0;0;0;3;790;0;1973;2013;14710 122nd Pl NE;Kirkland;WA 98034;USA
23/05/2014 0:00;90000;UBC;2.0;1.0;580;7500;1.0;0;0;3;580;0;1943;2002;6621 S 131st Pl;Seattle;WA 98178;USA
7/05/2014 0:00;100000;UBC;2.0;1.0;910;22000;1.0;0;0;3;910;0;1956;2001;138 Seattle Blvd S;Algona;WA 98001;USA
12/05/2014 0:00;110000;UBC;3.0;1.0;1250;53143;1.0;0;0;5;1250;0;1945;0;19693-19799 SE Maple Valley Hwy;Maple Valley;WA 98038;USA
19/05/2014 0:00;110700;UBC;2.0;1.0;680;8064;1.0;0;0;3;680;0;1941;1994;14917-14999 27th Pl S;SeaTac;WA 98188;USA
20/05/2014 0:00;120750;UBC;3.0;1.75;1140;9628;1.0;0;0;4;1140;0;1969;0;34403 30th Ave SW;Federal Way;WA 98023;USA
28/05/2014 0:00;124740;UBC;3.0;1.0;1340;15600;1.0;0;0;4;1340;0;1978;2000;31118 149th Ave SE;Kent;WA 98042;USA
23/05/2014 0:00;132500;UBC;3.0;1.0;1080;10500;1.0;0;0;3;1080;0;1967;2011;4411 S 314th St;Auburn;WA 98001;USA
8/05/2014 0:00;134000;UBC;2.0;1.5;980;5000;2.0;0;0;3;980;0;1922;2003;235 Thelma St;Skykomish;WA 98288;USA
6/05/2014 0:00;136500;UBC;3.0;1.5;1420;8580;1.0;0;0;3;1420;0;1962;2003;32827 22nd Ave SW;Federal Way;WA 98023;USA
19/05/2014 0:00;137000;UBC;3.0;1.0;950;7620;1.0;0;0;3;950;0;1954;2005;9445 8th Ave SW;Seattle;WA 98106;USA
14/05/2014 0:00;139000;UBC;3.0;1.0;1100;17334;1.0;0;0;3;1100;0;1978;0;33610 51st Ave S;Auburn;WA 98001;USA
19/05/2014 0:00;141800;UBC;2.0;1.0;930;4743;1.0;0;0;4;930;0;1942;1982;821 Dayton Ave NE;Renton;WA 98056;USA
29/05/2014 0:00;145000;UBC;3.0;1.0;1010;5490;1.0;0;0;3;1010;0;1954;2005;14056 31st Ave S;SeaTac;WA 98168;USA
23/05/2014 0:00;149000;UBC;3.0;1.0;1700;8645;1.0;0;0;3;1700;0;1955;2005;12701 2nd Ave SW;Seattle;WA 98146;USA
21/05/2014 0:00;150000;BC;3.0;1.0;1010;25000;1.0;0;0;3;1010;0;1966;1963;10626 Kelly Rd NE;Carnation;WA 98014;USA
22/05/2014 0:00;150000;BC;2.0;1.0;820;10270;1.0;0;0;3;820;0;1954;2005;10218 Aqua Way S;Seattle;WA 98168;USA
28/05/2014 0:00;150000;BC;3.0;1.0;820;7680;1.5;0;0;3;820;0;1910;2006;8408 20th Ave SW;Seattle;WA 98106;USA
13/05/2014 0:00;155000;BC;2.0;1.0;910;6232;1.0;0;0;3;910;0;1943;2002;4812 S Chicago St;Seattle;WA 98118;USA
14/05/2014 0:00;155000;BC;2.0;1.0;700;5200;1.0;0;0;5;700;0;1952;1998;475-547 Monroe Ave NE;Renton;WA 98056;USA
29/05/2014 0:00;155000;BC;3.0;1.0;1250;6250;1.0;0;0;2;1030;220;1949;0;8215 8th Ave S;Seattle;WA 98108;USA
12/05/2014 0:00;156000;BC;3.0;1.0;970;8580;1.0;0;0;3;970;0;1959;1989;29621 18th Ave S;Federal Way;WA 98003;USA
28/05/2014 0:00;157500;BC;2.0;1.0;740;9003;1.0;0;0;3;740;0;1949;1998;20206-20212 108th Ave SE;Kent;WA 98031;USA
7/05/2014 0:00;160000;BC;2.0;1.0;1040;13100;1.0;0;0;5;1040;0;1912;0;733 1st Ave N;Kent;WA 98032;USA
14/05/2014 0:00;160000;BC;3.0;1.0;860;11900;1.0;0;0;4;860;0;1963;0;27204 116th Pl SE;Kent;WA 98030;USA
27/05/2014 0:00;160000;BC;2.0;1.0;1180;9350;1.0;0;0;3;1180;0;1918;0;12662 60th Ave S;Seattle;WA 98178;USA
22/05/2014 0:00;168000;BC;2.0;2.5;1160;2174;2.0;0;0;3;1160;0;1998;2006;8601-8633 26th Ave SW;Seattle;WA 98106;USA
28/05/2014 0:00;168500;BC;3.0;1.0;1100;10125;1.0;0;0;3;1100;0;1969;2010;17458 SE 262nd St;Covington;WA 98042;USA
26/05/2014 0:00;172500;BC;3.0;1.0;1140;8800;1.0;0;0;3;1140;0;1972;2002;4804 S 378th St;Auburn;WA 98001;USA
16/05/2014 0:00;174500;BC;2.0;1.0;1010;5200;1.0;0;0;3;1010;0;1955;2005;20721 9th Ave S;Des Moines;WA 98198;USA
15/05/2014 0:00;174950;BC;3.0;1.0;1060;5200;1.0;0;0;5;1060;0;1970;0;26635 Timberlane Dr SE;Covington;WA 98042;USA
6/05/2014 0:00;175000;BC;3.0;1.0;1010;7034;1.0;0;0;3;1010;0;1954;2005;207 NW 5th St;Renton;WA 98057;USA
14/05/2014 0:00;175000;BC;2.0;1.0;1170;8925;1.0;0;2;3;1170;0;1911;1979;921 S 223rd St;Des Moines;WA 98198;USA
21/05/2014 0:00;175000;BC;3.0;1.75;1230;13056;1.0;0;0;4;1230;0;1962;0;31649-31799 44th Ave S;Auburn;WA 98001;USA
23/05/2014 0:00;175000;BC;2.0;1.0;1300;44431;1.0;0;0;5;1300;0;1958;0;30557 55th Ave S;Auburn;WA 98001;USA
28/05/2014 0:00;175000;BC;2.0;1.0;830;2699;1.0;0;0;3;830;0;1996;0;22775 SE 242nd Pl;Maple Valley;WA 98038;USA
16/05/2014 0:00;180000;BC;3.0;1.0;1000;18513;1.0;0;0;3;1000;0;1940;1996;1001 SW 102nd St;Seattle;WA 98146;USA
22/05/2014 0:00;180000;BC;3.0;1.0;870;5330;1.0;0;0;3;870;0;1969;2014;19654 SE 260th St;Covington;WA 98042;USA
22/05/2014 0:00;180000;BC;2.0;1.0;1400;4500;1.0;0;0;3;900;500;1922;2008;309 Hardie Ave NW;Renton;WA 98057;USA
22/05/2014 0:00;180000;BC;4.0;1.5;1740;7292;1.0;0;0;3;1020;720;1962;2003;13904 24th Ave S;SeaTac;WA 98168;USA
7/05/2014 0:00;185000;BC;4.0;1.0;1490;6600;1.0;0;0;3;1490;0;1969;2010;13248 Occidental Ave S;Burien;WA 98168;USA
12/05/2014 0:00;185000;BC;3.0;1.5;1370;8470;1.0;0;0;4;1370;0;1961;2001;2420 Dogwood St SE;Auburn;WA 98092;USA
15/05/2014 0:00;185000;BC;3.0;1.0;1150;8100;1.0;0;0;3;1150;0;1932;0;12208 20th Ave S;Seattle;WA 98168;USA
28/05/2014 0:00;186950;BC;2.0;2.0;1390;1302;2.0;0;0;3;1390;0;1986;0;312 S 328th Ln;Federal Way;WA 98003;USA
28/05/2014 0:00;189000;BC;2.0;2.0;1700;3171;1.0;0;0;5;850;850;1927;0;508 D St SE;Auburn;WA 98002;USA
21/05/2014 0:00;189650;BC;2.0;1.75;1100;7600;1.0;0;0;3;1100;0;1980;0;1215 S 211th St;Des Moines;WA 98198;USA
